rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
99,frame_0389.jpg,155.6,0.5469,0.7792,0.4444,0.12,13,4,False,False
100,frame_0229.jpg,91.6,0.5464,0.6607,0.6667,0.08,10,6,False,False
101,frame_0284.jpg,113.6,0.5463,0.6687,0.3333,0.56,9,3,False,False
102,frame_0020.jpg,8.0,0.5459,0.5584,0.2222,1.0,8,2,False,False
103,frame_0300.jpg,120.0,0.5445,0.6303,0.4444,0.48,13,4,False,False
104,frame_0178.jpg,71.2,0.5434,0.6895,0.5556,0.16,13,5,False,False
105,frame_0381.jpg,152.4,0.5426,0.6692,0.6667,0.04,13,6,False,False
106,frame_0167.jpg,66.8,0.5423,0.7112,0.2222,0.6,11,2,False,False
107,frame_0201.jpg,80.4,0.5397,0.6554,0.3333,0.56,6,3,False,False
108,frame_0318.jpg,127.2,0.5394,0.8495,0.2222,0.24,10,2,False,False
109,frame_0095.jpg,38.0,0.5368,0.8763,0.2222,0.16,12,2,False,False
110,frame_0014.jpg,5.6,0.5367,0.5401,0.2222,1.0,7,2,False,False
111,frame_0179.jpg,71.6,0.5353,0.6892,0.5556,0.12,11,5,False,False
112,frame_0172.jpg,68.8,0.5351,0.6436,0.4444,0.4,8,4,False,False
113,frame_0370.jpg,148.0,0.5349,0.6538,0.6667,0.04,16,6,False,False
114,frame_0288.jpg,115.2,0.5348,0.5816,0.3333,0.72,13,3,False,False
115,frame_0274.jpg,109.6,0.534,0.7374,0.4444,0.16,14,4,False,False
116,frame_0279.jpg,111.6,0.534,0.724,0.3333,0.36,8,3,False,False
117,frame_0276.jpg,110.4,0.5324,0.7688,0.3333,0.24,14,3,False,False
118,frame_0007.jpg,2.8,0.5307,0.528,0.2222,1.0,9,2,False,False
119,frame_0382.jpg,152.8,0.5304,0.6287,0.6667,0.08,13,6,False,False
120,frame_0011.jpg,4.4,0.5297,0.526,0.2222,1.0,6,2,False,False
121,frame_0321.jpg,128.4,0.5286,0.7106,0.4444,0.2,12,4,False,False
122,frame_0022.jpg,8.8,0.5266,0.4532,0.3333,1.0,9,3,False,False
123,frame_0213.jpg,85.2,0.5263,0.562,0.4444,0.56,6,4,False,False
124,frame_0330.jpg,132.0,0.5248,0.767,0.4444,0.04,15,4,False,False
125,frame_0188.jpg,75.2,0.5232,0.7637,0.4444,0.04,14,4,False,False
126,frame_0322.jpg,128.8,0.5209,0.7111,0.4444,0.16,10,4,False,False
127,frame_0083.jpg,33.2,0.5201,0.5175,0.4444,0.64,12,4,False,False
128,frame_0333.jpg,133.2,0.5194,0.7401,0.4444,0.08,13,4,False,False
129,frame_0282.jpg,112.8,0.5173,0.7092,0.2222,0.48,11,2,False,False
130,frame_0123.jpg,49.2,0.5171,0.6448,0.2222,0.64,12,2,False,False
131,frame_0025.jpg,10.0,0.5135,0.4936,0.2222,1.0,8,2,False,False
132,frame_0289.jpg,115.6,0.5123,0.5872,0.2222,0.76,10,2,False,False
133,frame_0316.jpg,126.4,0.5121,0.7602,0.3333,0.16,11,3,False,False
134,frame_0081.jpg,32.4,0.5116,0.6018,0.2222,0.72,12,2,False,False
135,frame_0208.jpg,83.2,0.5115,0.519,0.3333,0.76,9,3,False,False
136,frame_0324.jpg,129.6,0.5077,0.5834,0.6667,0.08,13,6,False,False
137,frame_0306.jpg,122.4,0.5072,0.6517,0.4444,0.24,10,4,False,False
138,frame_0391.jpg,156.4,0.5054,0.7281,0.4444,0.04,14,4,False,False
139,frame_0210.jpg,84.0,0.5045,0.6703,0.1111,0.68,6,1,False,False
140,frame_0398.jpg,159.2,0.5005,0.6383,0.4444,0.24,13,4,False,False
141,frame_0012.jpg,4.8,0.4997,0.466,0.2222,1.0,7,2,False,False
142,frame_0169.jpg,67.6,0.4989,0.7232,0.1111,0.52,10,1,False,False
143,frame_0387.jpg,154.8,0.4964,0.7794,0.2222,0.2,12,2,False,False
144,frame_0397.jpg,158.8,0.4942,0.6417,0.4444,0.2,13,4,False,False
145,frame_0177.jpg,70.8,0.4935,0.6403,0.4444,0.2,10,4,False,False
146,frame_0367.jpg,146.8,0.4912,0.817,0.2222,0.08,14,2,False,False
147,frame_0202.jpg,80.8,0.4868,0.6002,0.2222,0.6,6,2,False,False
148,frame_0371.jpg,148.4,0.4838,0.669,0.4444,0.08,13,4,False,False
149,frame_0116.jpg,46.4,0.4835,0.623,0.3333,0.36,10,3,False,False
150,frame_0086.jpg,34.4,0.4807,0.6201,0.2222,0.52,10,2,False,False
151,frame_0269.jpg,107.6,0.4805,0.6783,0.4444,0.04,11,4,False,False
152,frame_0106.jpg,42.4,0.4786,0.7413,0.3333,0.04,10,3,False,False
153,frame_0109.jpg,43.6,0.4751,0.6516,0.4444,0.08,12,4,False,False
154,frame_0228.jpg,91.2,0.4743,0.6659,0.4444,0.04,11,4,False,False
155,frame_0018.jpg,7.2,0.4735,0.4136,0.2222,1.0,8,2,False,False
156,frame_0309.jpg,123.6,0.4726,0.5638,0.5556,0.12,11,5,False,False
157,frame_0310.jpg,124.0,0.4694,0.6402,0.4444,0.08,14,4,False,False
158,frame_0280.jpg,112.0,0.4668,0.6402,0.2222,0.4,9,2,False,False
159,frame_0185.jpg,74.0,0.4667,0.6347,0.4444,0.08,10,4,False,False
160,frame_0307.jpg,122.8,0.465,0.5166,0.5556,0.2,12,5,False,False
161,frame_0268.jpg,107.2,0.4646,0.6972,0.3333,0.08,6,3,False,False
162,frame_0113.jpg,45.2,0.4645,0.633,0.3333,0.24,10,3,False,False
163,frame_0192.jpg,76.8,0.4644,0.6489,0.3333,0.2,9,3,False,False
164,frame_0395.jpg,158.0,0.4631,0.6782,0.3333,0.12,12,3,False,False
165,frame_0193.jpg,77.2,0.4615,0.6937,0.2222,0.24,9,2,False,False
166,frame_0295.jpg,118.0,0.4605,0.5824,0.1111,0.68,8,1,False,False
167,frame_0212.jpg,84.8,0.4563,0.4727,0.3333,0.6,8,3,False,False
168,frame_0184.jpg,73.6,0.4511,0.7368,0.2222,0.08,10,2,False,False
169,frame_0121.jpg,48.4,0.4498,0.5423,0.2222,0.56,9,2,False,False
170,frame_0223.jpg,89.2,0.4468,0.6296,0.3333,0.16,10,3,False,False
171,frame_0180.jpg,72.0,0.4461,0.5935,0.4444,0.08,10,4,False,False
172,frame_0277.jpg,110.8,0.4408,0.5696,0.3333,0.28,11,3,False,False
173,frame_0087.jpg,34.8,0.44,0.5546,0.2222,0.48,8,2,False,False
174,frame_0207.jpg,82.8,0.4395,0.359,0.3333,0.8,7,3,False,False
175,frame_0110.jpg,44.0,0.4372,0.5598,0.4444,0.12,12,4,False,False
176,frame_0272.jpg,108.8,0.4367,0.6414,0.3333,0.08,13,3,False,False
177,frame_0273.jpg,109.2,0.4367,0.5588,0.4444,0.12,12,4,False,False
178,frame_0303.jpg,121.2,0.4305,0.5837,0.2222,0.36,10,2,False,False
179,frame_0215.jpg,86.0,0.4296,0.5339,0.2222,0.48,10,2,False,False
180,frame_0267.jpg,106.8,0.4285,0.6091,0.3333,0.12,8,3,False,False
181,frame_0122.jpg,48.8,0.4273,0.548,0.1111,0.6,11,1,False,False
182,frame_0118.jpg,47.2,0.4264,0.5434,0.2222,0.44,13,2,False,False
183,frame_0211.jpg,84.4,0.4247,0.5268,0.1111,0.64,6,1,False,False
184,frame_0327.jpg,130.8,0.4247,0.7001,0.2222,0.04,14,2,False,False
185,frame_0376.jpg,150.4,0.4226,0.7146,0.1111,0.16,9,1,False,False
186,frame_0115.jpg,46.0,0.4222,0.5831,0.2222,0.32,12,2,False,False
187,frame_0221.jpg,88.4,0.4208,0.5456,0.3333,0.24,7,3,False,False
188,frame_0194.jpg,77.6,0.4204,0.5954,0.2222,0.28,8,2,False,False
189,frame_0173.jpg,69.2,0.4183,0.4927,0.3333,0.36,9,3,False,False
190,frame_0373.jpg,149.2,0.4167,0.5695,0.3333,0.16,15,3,False,False
191,frame_0281.jpg,112.4,0.4163,0.5232,0.2222,0.44,9,2,False,False
192,frame_0098.jpg,39.2,0.4157,0.6155,0.3333,0.04,10,3,False,False
193,frame_0009.jpg,3.6,0.4148,0.3629,0.1111,1.0,5,1,False,False
194,frame_0314.jpg,125.6,0.413,0.594,0.3333,0.08,8,3,False,False
195,frame_0317.jpg,126.8,0.4111,0.7421,0.0,0.2,11,0,False,False
196,frame_0271.jpg,108.4,0.4099,0.6038,0.3333,0.04,10,3,False,False
197,frame_0225.jpg,90.0,0.4088,0.5856,0.3333,0.08,10,3,False,False
198,frame_0096.jpg,38.4,0.4083,0.5686,0.3333,0.12,10,3,False,False
199,frame_0206.jpg,82.4,0.4079,0.3784,0.2222,0.76,7,2,False,False
200,frame_0019.jpg,7.6,0.4064,0.2795,0.2222,1.0,7,2,False,False
201,frame_0008.jpg,3.2,0.4044,0.4088,0.0,1.0,5,0,False,False
202,frame_0024.jpg,9.6,0.4029,0.3392,0.1111,1.0,6,1,False,False
203,frame_0168.jpg,67.2,0.402,0.5134,0.1111,0.56,8,1,False,False
204,frame_0390.jpg,156.0,0.4018,0.5717,0.3333,0.08,11,3,False,False
205,frame_0304.jpg,121.6,0.4017,0.542,0.2222,0.32,11,2,False,False
206,frame_0222.jpg,88.8,0.4016,0.5899,0.2222,0.2,9,2,False,False
207,frame_0195.jpg,78.0,0.3999,0.5384,0.2222,0.32,7,2,False,False
208,frame_0320.jpg,128.0,0.3992,0.569,0.2222,0.24,12,2,False,False
209,frame_0308.jpg,123.2,0.398,0.5986,0.2222,0.16,10,2,False,False
